"line","type","ZOI80","ZOI50","ZOI20","fAUC80","fAUC50","fAUC20","slope","sd.ZOI80","sd.ZOI50","sd.ZOI20","sd.fAUC80","sd.fAUC50","sd.fAUC20","sd.slope"
"A12","levelA",0,1,10,0.93,0.65,0.79,18,0.29,0.62,4.23,NA,NA,0.0814,6.88
"A13","levelA",13,18,21,0.71,0.36,0.31,181,2.14,1.29,1.6,0.1725,0.0706,0.0331,22.6
"A14","levelA",9,14,19,0.56,0.39,0.38,130,1.37,0.97,1.47,0.2167,0.0706,0.0425,10.66
"A15","levelA",9,15,18,0.66,0.35,0.32,174,5.02,0.9,0.9,0.303,0.1368,0.0744,22.9
"A16","levelA",7,14,20,0.78,0.46,0.42,117,3.6,1.09,1.82,0.2277,0.1195,0.0604,19.12
"A17","levelA",10,15,18,0.6,0.33,0.29,193,3.81,1.07,1.51,0.2756,0.1097,0.0545,17.26
"A18","levelA",3,9,12,0.78,0.51,0.42,120,2.35,0.85,1.38,0.213,0.1065,0.0628,17.93
"A12","levelB",0,2,10,0.94,0.85,0.78,26,0,0.49,5.5,0.2165,NA,0.0759,8.34
"A13","levelB",4,16,22,0.85,0.56,0.46,74,4.77,1.76,2.5,0.1882,0.1839,0.1064,47.85
"A14","levelB",1,15,22,0.72,0.65,0.55,52,1.19,0.92,2.7,0.3546,0.0935,0.0623,21.44
"A15","levelB",6,15,20,0.74,0.44,0.42,83,5.09,1.56,2.71,NA,0.1106,0.0698,36.69
"A16","levelB",8,15,21,0.43,0.37,0.38,99,5.39,1.15,3.27,NA,0.1665,0.1332,39.02
"A17","levelB",5,13,19,0.74,0.47,0.45,85,5.98,5.2,1.83,0.3616,NA,0.1634,43.22
"A18","levelB",2,8,12,0.86,0.55,0.45,122,2.02,0.75,1.24,0.1568,0.0899,0.0584,18.35
